"","PupaeIndex","Illiteracy","Unemploy","Overcrowd","LarvaePres","NumChildren","NumAdults","InterruptFreq","InterruptD","TrashCollectPerWk","LargeSolidColl","SewerConn","FumigLWs","AbateLWs","BiolarvLWs","CanopyUse","ProtectMesh","VolCriadero","OutsideLocation","DirtyWater","WaterVol","XCoord","YCoord","week0","week1","week2","IncPov","ExtrPov","HHOverC","PubWater","Sewerage","BasicSer","GlobalEmp","Unemployment","SecSchool"
"11",7,1.833700929,10.7776026,2.285484607,1,0,2,0,0,3,1,1,0,1,1,0,0,0,1,0,1,-79.90892,-2.21728,38.34469974,2.296983515,37.33416219,0.084983825985046,0.01043084626103,0.082700890815412,0.998815631660555,0.99880459184249,0.947200507673633,0.960492735545613,0.039507264454387,0.900244028175116
"12",2,1.833700929,10.7776026,2.285484607,1,2,10,0,0,3,1,1,0,1,1,0,0,0,1,0,104,-79.90892,-2.21728,38.34469974,2.296983515,37.33416219,0.084983825985046,0.01043084626103,0.082700890815412,0.998815631660555,0.99880459184249,0.947200507673633,0.960492735545613,0.039507264454387,0.900244028175116
"13",5,1.833700929,10.7776026,2.285484607,1,0,2,0,0,3,1,1,0,1,1,0,0,0,1,1,64,-79.90892,-2.21728,38.34469974,2.296983515,37.33416219,0.084983825985046,0.01043084626103,0.082700890815412,0.998815631660555,0.99880459184249,0.947200507673633,0.960492735545613,0.039507264454387,0.900244028175116
"14",2,1.833700929,10.7776026,2.285484607,1,0,2,0,0,3,1,1,0,0,1,0,0,0,1,1,18,-79.90892,-2.21728,38.34469974,2.296983515,37.33416219,0.084983825985046,0.01043084626103,0.082700890815412,0.998815631660555,0.99880459184249,0.947200507673633,0.960492735545613,0.039507264454387,0.900244028175116
"15",17,1.833700929,10.7776026,2.285484607,1,0,5,0,0,3,1,1,0,1,1,0,0,0,1,1,104,-79.90892,-2.21728,38.34469974,2.296983515,37.33416219,0.084983825985046,0.01043084626103,0.082700890815412,0.998815631660555,0.99880459184249,0.947200507673633,0.960492735545613,0.039507264454387,0.900244028175116
"16",7,1.833700929,10.7776026,2.285484607,1,1,3,0,0,3,1,1,0,1,1,0,0,0,1,1,92,-79.90892,-2.21728,38.34469974,2.296983515,37.33416219,0.084983825985046,0.01043084626103,0.082700890815412,0.998815631660555,0.99880459184249,0.947200507673633,0.960492735545613,0.039507264454387,0.900244028175116
"17",33,1.833700929,10.7776026,2.285484607,1,4,9,0,0,3,1,1,1,0,1,0,1,192000,1,0,84,-79.90892,-2.21728,38.34469974,2.296983515,37.33416219,0.084983825985046,0.01043084626103,0.082700890815412,0.998815631660555,0.99880459184249,0.947200507673633,0.960492735545613,0.039507264454387,0.900244028175116
"18",4,1.833700929,10.7776026,2.285484607,1,0,0,0,0,3,1,1,0,1,1,0,0,0,1,1,128,-79.90892,-2.21728,38.34469974,2.296983515,37.33416219,0.084983825985046,0.01043084626103,0.082700890815412,0.998815631660555,0.99880459184249,0.947200507673633,0.960492735545613,0.039507264454387,0.900244028175116
"19",2,1.833700929,10.7776026,2.285484607,0,1,5,0,0,3,1,1,0,1,1,0,0,0,1,0,29,-79.90892,-2.21728,38.34469974,2.296983515,37.33416219,0.084983825985046,0.01043084626103,0.082700890815412,0.998815631660555,0.99880459184249,0.947200507673633,0.960492735545613,0.039507264454387,0.900244028175116
"20",12,1.833700929,10.7776026,2.285484607,1,0,2,0,0,3,1,1,1,1,1,0,1,0,1,0,67,-79.90892,-2.21728,38.34469974,2.296983515,37.33416219,0.084983825985046,0.01043084626103,0.082700890815412,0.998815631660555,0.99880459184249,0.947200507673633,0.960492735545613,0.039507264454387,0.900244028175116
"21",1,1.833700929,10.7776026,2.285484607,1,2,4,0,0,3,1,1,0,1,1,0,0,0,1,0,29,-79.90892,-2.21728,38.34469974,2.296983515,37.33416219,0.084983825985046,0.01043084626103,0.082700890815412,0.998815631660555,0.99880459184249,0.947200507673633,0.960492735545613,0.039507264454387,0.900244028175116
"22",3,3.744929195,11.7108967,3.033398897,1,0,3,1,3,4,1,1,0,0,1,0,0,371200,1,0,1,-79.90877,-2.22129,0.169591813,6.992085614,0,0.084983825985046,0.01043084626103,0.082700890815412,0.998815631660555,0.99880459184249,0.947200507673633,0.960492735545613,0.039507264454387,0.900244028175116
"23",12,3.744929195,11.7108967,3.033398897,1,0,1,1,2,4,1,1,0,0,1,1,0,485980,0,0,1,-79.9087,-2.2078,0.169591813,6.992085614,0,0.084983825985046,0.01043084626103,0.082700890815412,0.998815631660555,0.99880459184249,0.947200507673633,0.960492735545613,0.039507264454387,0.900244028175116
"24",7,1.84816742,9.895732203,4.215658465,1,2,5,0,0,3,1,1,1,0,0,0,1,0,1,0,1,-79.90846,-2.21084,36.09407959,15.78118084,22.89616769,0.084983825985046,0.01043084626103,0.082700890815412,0.998815631660555,0.99880459184249,0.947200507673633,0.960492735545613,0.039507264454387,0.900244028175116
"25",3,1.84816742,9.895732203,4.215658465,1,1,3,0,0,3,1,1,1,0,0,0,1,0,1,1,28,-79.90846,-2.21084,36.09407959,15.78118084,22.89616769,0.084983825985046,0.01043084626103,0.082700890815412,0.998815631660555,0.99880459184249,0.947200507673633,0.960492735545613,0.039507264454387,0.900244028175116
"26",4,1.84816742,9.895732203,4.215658465,1,0,5,0,0,3,1,1,1,0,0,0,1,0,1,1,71,-79.90846,-2.21084,36.09407959,15.78118084,22.89616769,0.084983825985046,0.01043084626103,0.082700890815412,0.998815631660555,0.99880459184249,0.947200507673633,0.960492735545613,0.039507264454387,0.900244028175116
"27",12,1.84816742,9.895732203,4.215658465,1,0,1,0,0,3,1,1,1,0,0,0,1,0,1,1,77,-79.90846,-2.21084,36.09407959,15.78118084,22.89616769,0.084983825985046,0.01043084626103,0.082700890815412,0.998815631660555,0.99880459184249,0.947200507673633,0.960492735545613,0.039507264454387,0.900244028175116
"28",2,1.84816742,9.895732203,4.215658465,1,2,4,0,0,3,1,1,1,0,0,0,1,0,1,1,1,-79.90846,-2.21084,36.09407959,15.78118084,22.89616769,0.084983825985046,0.01043084626103,0.082700890815412,0.998815631660555,0.99880459184249,0.947200507673633,0.960492735545613,0.039507264454387,0.900244028175116
"29",16,1.84816742,9.895732203,4.215658465,1,0,1,0,0,3,1,1,1,0,0,0,1,216000,1,0,1,-79.90846,-2.21084,36.09407959,15.78118084,22.89616769,0.084983825985046,0.01043084626103,0.082700890815412,0.998815631660555,0.99880459184249,0.947200507673633,0.960492735545613,0.039507264454387,0.900244028175116
"30",2,1.84816742,9.895732203,4.215658465,1,2,5,0,0,3,1,1,1,0,0,0,1,0,1,0,117,-79.90846,-2.21084,36.09407959,15.78118084,22.89616769,0.084983825985046,0.01043084626103,0.082700890815412,0.998815631660555,0.99880459184249,0.947200507673633,0.960492735545613,0.039507264454387,0.900244028175116
"31",30,1.84816742,9.895732203,4.215658465,1,3,2,0,0,3,1,1,1,0,0,0,1,0,1,1,116,-79.90846,-2.21084,36.09407959,15.78118084,22.89616769,0.084983825985046,0.01043084626103,0.082700890815412,0.998815631660555,0.99880459184249,0.947200507673633,0.960492735545613,0.039507264454387,0.900244028175116
"32",2,1.84816742,9.895732203,4.215658465,1,3,5,0,0,3,1,1,1,0,0,0,1,0,1,1,64,-79.90846,-2.21084,36.09407959,15.78118084,22.89616769,0.084983825985046,0.01043084626103,0.082700890815412,0.998815631660555,0.99880459184249,0.947200507673633,0.960492735545613,0.039507264454387,0.900244028175116
"33",9,1.84816742,9.895732203,4.215658465,1,0,2,0,0,3,1,1,1,0,0,0,1,0,1,1,296,-79.90846,-2.21084,36.09407959,15.78118084,22.89616769,0.084983825985046,0.01043084626103,0.082700890815412,0.998815631660555,0.99880459184249,0.947200507673633,0.960492735545613,0.039507264454387,0.900244028175116
