"","KEYSC","IDP1","PupaeSum","NumCriaderos","PupaeIndex","Date","CEpiWeek","Illiteracy","Unemployment","Overcrowding","LarvaePresence","NumChildren","NumAdults","InterruptFreq","InterruptDurHrs","TrashCollectPerWk","LargeSolidColl","SewerConn","FumigLWs","AbateLWs","BiolarvLWs","CanopyUse","ProtectMesh","BreedingSites","VolCriadero","OutsideLocation","DirtyWater","WaterVol","XCoord","YCoord","week0","week1","week2","week3","week4","week5"
"65","CENTENTARIO 5 S05",9651,6,1,6,"2014-10-30",96,1.47973404136788,5.69502325537035,1.64208626196452,1,0,4,0,0,7,1,0,1,0,1,1,0,1,268037,0,0,1,-79.88643,-2.2218,0,0.050000000745058,0.527621533177827,10.4829280817905,0,0.5990632915136
"66","CENTENTARIO 5 S05",9754,51,2,26,"2014-10-30",96,1.47973404136788,5.69502325537035,1.64208626196452,1,1,4,0,0,7,1,0,1,0,1,1,0,1,162003.5,1,1,2,-79.887,-2.221163,0,0.050000000745058,0.527621533177827,10.4829280817905,0,0.5990632915136
"67","CENTENTARIO 5 S05",9678,16,1,16,"2014-10-30",96,1.47973404136788,5.69502325537035,1.64208626196452,1,2,2,0,0,7,1,0,1,0,1,0,0,1,115200,0,0,1,-79.88661,-2.2217,0,0.050000000745058,0.527621533177827,10.4829280817905,0,0.5990632915136
"68","CENTENTARIO 5 S05",9732,12,1,12,"2014-10-30",96,1.47973404136788,5.69502325537035,1.64208626196452,1,3,2,0,0,7,1,0,1,0,1,1,0,1,312852,0,0,1,-79.88683,-2.22163,0,0.050000000745058,0.527621533177827,10.4829280817905,0,0.5990632915136
"69","CENTENTARIO 5 S05",9522,2,1,2,"2014-10-29",96,1.47973404136788,5.69502325537035,1.64208626196452,1,2,3,1,3,7,1,1,1,0,1,0,1,0,8820,1,1,1,-79.89667,-2.21641,0,0.050000000745058,0.527621533177827,10.4829280817905,0,0.5990632915136
"70","CENTENTARIO 5 S05",10588,1,1,1,"2014-10-28",96,1.47973404136788,5.69502325537035,1.64208626196452,1,2,2,1,3,7,1,1,0,0,1,0,0,1,96768,1,0,1,-79.89389,-2.21652,0,0.050000000745058,0.527621533177827,10.4829280817905,0,0.5990632915136
"71","CHALA 1 S01",36857,1,1,1,"2014-07-24",82,2.43977809406347,10.3046865869718,2.86962785274939,1,1,4,0,0,3,1,1,0,0,1,1,0,0,350,1,1,1,-79.91303,-2.21067,0,0.100000001490116,0,0,0,0
"74","CRISTO DEL CONSUELO 1 S01",15513,10,1,10,"2015-01-12",107,3.74492919543898,11.7108966957394,3.03339889716611,1,0,6,1,12,4,1,1,0,0,1,1,0,1,41070,1,1,1,-79.91221,-2.21974,0.169591813471279,6.9920856139479,0,0.468842608419285,0,0
"76","CRISTO DEL CONSUELO 1 S01",15435,8,1,8,"2015-01-12",107,3.74492919543898,11.7108966957394,3.03339889716611,1,0,2,1,12,4,0,1,0,0,1,0,1,1,2560,0,0,1,-79.91332,-2.21943,0.169591813471279,6.9920856139479,0,0.468842608419285,0,0
"77","CRISTO DEL CONSUELO 1 S01",15778,17,1,17,"2015-01-13",107,3.74492919543898,11.7108966957394,3.03339889716611,1,0,2,1,2,4,0,1,0,0,1,1,1,1,201840,1,0,1,-79.91007,-2.2199,0.169591813471279,6.9920856139479,0,0.468842608419285,0,0
