"","PupaeSum","OutsideLocation","DirtyWater","WaterVol","XCoord","YCoord","Year","EpiWk","CEpiWeek","TypeEng","TypeEngNew","MatEng","Sewer","BucketPrt","Bamboo","Toilet","TrashCan","SmlLiqCon","Tank","Vase","Furniture","CarPart","Sink","Pool","Tub","Barrel","MatPlastic","MatMetal","MatCement","MatRubber","MatCeramic","MatGlass"
"843",39,1,1,1,-79.93413,-2.233508,2016,7,164,"Washbasin","Sink","Plastic",0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
"844",4,1,0,1,-79.934345,-2.234096,2016,7,164,"Tank","Tank","Metal",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
"845",18,1,0,1,-79.934642,-2.233916,2016,7,164,"Chair","Furniture","Plastic",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"848",7,1,1,1,-79.928522,-2.241718,2016,7,164,"Drawer","Furniture","Plastic",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"849",210,1,0,1,-80.07667,-2.2373,2015,36,141,"Tank","Tank","Plastic",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"850",19,1,0,1,-80.07892,-2.23646,2015,36,141,"Tank","Tank","Plastic",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"851",2,1,0,1,-80.07977,-2.23597,2015,36,141,"Barrel","Barrel","Metal",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
"852",1,1,1,1,-79.91042,-2.11592,2016,20,177,"Bottle","Small Liq Storage","Glass",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"853",29,1,1,1,-79.91103,-2.11617,2016,20,177,"Bucket","Bucket Parts","Plastic",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"854",10,0,1,1,-79.90524,-2.25234,2016,25,182,"Vase","Vase","Plastic",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
"855",11,0,0,1,-79.90754,-2.25344,2016,25,182,"Vase","Vase","Glass",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"856",54,1,1,1,-79.89902,-2.25446,2016,25,182,"Toilet","Toilet","Ceramic",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"857",24,0,0,1,-79.87605,-2.27052,2016,15,172,"Tank","Tank","Plastic",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"858",57,0,0,1,-79.87605,-2.27052,2016,15,172,"Tank","Tank","Plastic",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"859",2,1,1,1,-79.87598,-2.26989,2016,15,172,"Container","Container","Plastic",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"860",13,1,0,1,-79.87608,-2.27067,2016,15,172,"Trash","Trash","Plastic",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"861",13,1,1,1,-79.87577,-2.27211,2016,15,172,"Trash","Trash","Plastic",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"862",15,1,1,1,-79.87562,-2.27219,2016,15,172,"Trash","Trash","Plastic",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"863",3,1,0,1,-79.91093,-2.11886,2016,18,175,"Tank","Tank","Plastic",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"864",4,1,1,1,-79.886101,-2.27384,2016,9,166,"Trash","Trash","Plastic",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"865",4,1,0,1,-79.885795,-2.274285,2016,9,166,"Tank","Tank","Plastic",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"866",25,1,0,1,-79.885606,-2.27433,2016,9,166,"Bucket","Bucket Parts","Plastic",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"867",46,1,1,1,-79.885255,-2.274647,2016,9,166,"Tank","Tank","Plastic",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"868",18,1,1,1,-79.883986,-2.275188,2016,9,166,"Bucket","Bucket Parts","Plastic",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"869",21,1,1,1,999999,999999,2016,8,165,"Pool","Pool","Plastic",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
"870",5,1,1,1,999999,999999,2016,8,165,"Vase","Vase","Plastic",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
"871",25,1,0,1,-79.908192,-2.11685,2016,20,177,"Tank","Tank","Cement",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
"872",19,1,0,1,-79.90367,-2.25159,2016,24,181,"Tank","Tank","Plastic",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"873",1,1,0,1,-79.884292,-2.274945,2016,9,166,"Block","Block","Cement",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"874",4,1,1,1,-79.883041,-2.276346,2016,9,166,"Container","Container","Ceramic",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"875",25,1,1,1,-79.883005,-2.276463,2016,9,166,"Pot","Small Liq Storage","Metal",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"876",3,1,0,1,-79.91067,-2.11679,2016,20,177,"Tank","Tank","Plastic",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"877",3,1,1,1,-79.95702,-2.10762,2016,26,183,"Tank","Tank","Plastic",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"878",5,1,1,1,-79.91653,-2.15031,2016,19,176,"Toilet","Toilet","Ceramic",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"879",1,0,1,1,-79.91661,-2.1508,2016,19,176,"Tank","Tank","Metal",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
"880",4,1,1,23,-79.87652,-2.2621,2016,12,169,"Tank","Tank","Plastic",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"881",6,1,0,1,-79.87652,-2.2621,2016,12,169,"Toilet","Toilet","Ceramic",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
