"","IDP1","LarvSum","NumCriaderos","PupaeIndex","Date","CEpiWeek","SEStatus","LarvaePresence","NumChildren","NumAdults","InterruptFreq","InterruptDurHrs","TrashCollectPerWk","LargeSolidColl","SewerConn","FumigLWs","AbateLWs","BiolarvLWs","CanopyUse","ProtectMesh","BreedingSites","VolCriadero","OutsideLocation","DirtyWater","WaterVol","XCoord","YCoord","week0","week1","week2"
"59",15676,16,1,16,"2015-01-13",107,"Baja",1,0,3,1,3,4,0,1,0,0,1,1,1,1,18000,1,1,1,-79.91134,-2.21081,0.169591813471279,6.9920856139479,0
"60",15513,20,1,20,"2015-01-12",107,"Baja",1,0,6,1,12,4,1,1,0,0,1,1,0,1,41070,1,1,1,-79.91221,-2.21974,0.169591813471279,6.9920856139479,0
"61",15435,77,1,77,"2015-01-12",107,"Baja",1,0,2,1,12,4,0,1,0,0,1,0,1,1,2560,0,0,1,-79.91332,-2.21943,0.169591813471279,6.9920856139479,0
"62",15778,11,1,11,"2015-01-13",107,"Baja",1,0,2,1,2,4,0,1,0,0,1,1,1,1,201840,1,0,1,-79.91007,-2.2199,0.169591813471279,6.9920856139479,0
"63",16152,58,1,58,"2015-01-15",107,"Baja",1,0,4,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,1728,0,1,1,-79.90823,-2.2212,0.169591813471279,6.9920856139479,0
"64",15417,56,1,56,"2015-01-12",107,"Baja",1,0,7,1,1,4,0,1,0,0,1,1,0,1,32856,1,0,1,-79.21341,-2.21908,0.169591813471279,6.9920856139479,0
"65",16061,8,1,8,"2015-01-15",107,"Baja",1,0,2,1,3,4,1,1,0,0,1,0,0,1,108,1,1,1,-79.9099,-2.22064,0.169591813471279,6.9920856139479,0
"66",37233,4,1,4,"2015-05-06",123,"Media",1,0,5,1,3,3,1,0,0,0,0,1,0,1,100920,1,0,1,-79.95156,-2.11758,39.6577286507866,18.0991417865617,12.8008587692668
"67",37221,21,2,10.5,"2015-05-06",123,"Media",1,1,7,0,0,3,1,0,0,0,0,1,0,1,9375,1,0,2,-79.95175,-2.11711,39.6577286507866,18.0991417865617,12.8008587692668
"68",37243,2,1,2,"2015-05-06",123,"Media",1,2,4,0,0,7,1,0,0,0,0,1,0,1,1125,1,0,1,-79.95146,-2.118815,39.6577286507866,18.0991417865617,12.8008587692668
"69",37286,1,1,1,"2015-05-07",123,"Media",1,0,4,1,12,3,1,0,0,0,0,1,0,1,67280,1,0,1,-79.95111,-2.118355,39.6577286507866,18.0991417865617,12.8008587692668
"70",37288,6,1,6,"2015-05-07",123,"Media",1,1,5,1,2,3,1,0,0,0,0,1,0,1,8e+05,1,0,1,-79.95107,-2.118165,39.6577286507866,18.0991417865617,12.8008587692668
"71",37180,1,1,1,"2015-05-05",123,"Media",1,7,4,0,0,3,1,0,0,0,0,1,0,1,269120,1,0,1,-79.9519,-2.11889,39.6577286507866,18.0991417865617,12.8008587692668
"72",37229,11,1,11,"2015-05-06",123,"Media",1,1,2,1,2,3,1,0,0,0,0,1,0,1,67280,1,0,1,-79.95139,-2.117536,39.6577286507866,18.0991417865617,12.8008587692668
"73",37182,4,1,4,"2015-05-05",123,"Media",1,1,3,0,0,3,1,0,0,0,0,1,0,1,5e+05,1,0,1,-79.95172,-2.1183,39.6577286507866,18.0991417865617,12.8008587692668
"74",36995,2,1,2,"2015-05-04",123,"Media",1,0,2,1,3,3,1,0,0,0,0,1,0,1,1500,1,0,1,-79.95249,-2.117515,39.6577286507866,18.0991417865617,12.8008587692668
"75",37032,9,1,9,"2015-05-04",123,"Media",1,0,3,1,3,3,1,0,0,0,0,1,0,1,67280,1,0,1,-79.95265,-2.11845,39.6577286507866,18.0991417865617,12.8008587692668
"76",37298,2,1,2,"2015-05-07",123,"Media",1,2,3,1,2,3,1,0,0,0,0,1,0,1,269120,1,0,1,-79.95096,-2.11791,39.6577286507866,18.0991417865617,12.8008587692668
"77",37293,4,1,4,"2015-05-07",123,"Media",1,1,7,1,2,3,1,0,0,0,0,1,0,1,67280,0,0,1,-79.951,-2.11776,39.6577286507866,18.0991417865617,12.8008587692668
"78",37058,15,2,7.5,"2015-05-04",123,"Media",1,1,4,1,2,3,1,0,0,0,0,1,0,1,9000,1,0,2,-79.9522,-2.11906,39.6577286507866,18.0991417865617,12.8008587692668
"79",37021,11,1,11,"2015-05-04",123,"Media",1,1,7,1,12,3,1,0,0,0,0,1,0,1,269120,1,0,1,-79.9522,-2.118825,39.6577286507866,18.0991417865617,12.8008587692668
"80",16591,76,1,76,"2015-03-09",115,"Media",1,1,3,1,8,4,1,0,0,0,1,1,0,1,6728,1,0,1,-79.88164,-2.25697,1.60000002384185,1.56376810969689,5.9856106604461
"81",16670,55,1,55,"2015-03-13",115,"Media",1,3,4,1,4,3,1,0,0,0,1,1,0,1,149454,1,0,1,-79.95486,-2.09782,1.60000002384185,1.56376810969689,5.9856106604461
"82",38689,2,1,2,"2015-06-01",127,"Media",1,0,5,1,12,3,1,1,0,0,0,1,0,1,67280,0,0,1,-79.95322,-2.11083,0.080538297099149,0,0.938923393640136
