"","IDP1","PupaeSum","NumCriaderos","PupaeIndex","LarvaePresence","NumChildren","NumAdults","InterruptFreq","InterruptDurHrs","TrashCollectPerWk","LargeSolidColl","SewerConn","FumigLWs","AbateLWs","BiolarvLWs","CanopyUse","ProtectMesh","BreedingSites","VolCriadero","OutsideLocation","DirtyWater","WaterVol","XCoord","YCoord","week0","week1","week2"
"13",29573,2,1,2,0.93,4,2,0,0,3,1,0.874,0.66,0.29,0.46,0,0.32,0.22,0,0.95,0.386666666666667,1,-79.90846,-2.21084,36.0940795921754,15.7811808371229,22.8961676939234
"14",29854,24,2,12,1,0,1,0,0,3,1,0.83,1,0,0.17,0,0.22,0.0699999999999999,0,1,1,77,-79.90846,-2.21084,36.0940795921754,15.7811808371229,22.8961676939234
"15",29515,16,1,16,1,0,1,0,0,3,1,0.85,0.63,0.21,0.38,0,0.37,0.43,216000,1,0,1,-79.90846,-2.21084,36.0940795921754,15.7811808371229,22.8961676939234
"16",9169,9,1,9,1,0,4,1,1,7,1,1,0,0,1,1,0,1,323680,1,0,1,-79.91015,-2.21142,0,0,0
"17",29561,5,1,5,1,6,3,0,0,3,1,0.87,0.59,0.11,0.36,0,0.38,0.4,80000,1,0,1,-79.90846,-2.21084,36.0940795921754,15.7811808371229,22.8961676939234
"18",29846,7,1,7,1,2,5,0,0,3,1,0.84,1,0,0.18,0,0.31,0.21,0,1,0,1,-79.90846,-2.21084,36.0940795921754,15.7811808371229,22.8961676939234
"19",30063,30,1,30,1,3,2,0,0,3,1,0.765,1,0,0.19,0,0.15,0.0399999999999999,0,1,1,116,-79.90846,-2.21084,36.0940795921754,15.7811808371229,22.8961676939234
"20",29526,21,1,21,1,0,2,0,0,3,1,0.87,0.64,0.15,0.37,0,0.39,0.41,360000,1,0,1,-79.90846,-2.21084,36.0940795921754,15.7811808371229,22.8961676939234
"21",29909,7,1,7,1,0,5,0,0,3,1,0.88,1,0,0.17,0,0.33,0.22,0,1,0,1,-79.90846,-2.21084,36.0940795921754,15.7811808371229,22.8961676939234
"22",29826,2,1,2,1,1.55333333333333,4.18,0,-3.49498208151999e-15,3,1,0.884,1,0.23,0.47,0,0.32,0.26,0,1,1,1,-79.90846,-2.21084,36.0940795921754,15.7811808371229,22.8961676939234
